08 Apr 2025 | 17:13:00,167 | INFO  | SFSWorker:Ext:3 | v2.api.SFSApi | null | User login: { Zone: sfsak }, ( User Name: 707853412, Id: 58140, Priv: 0, Sess: 171.241.49.67:56031 ) , Type: unity-DesktopC10:2.0.3
08 Apr 2025 | 17:13:00,171 | DEBUG | scala-execution-context-global-229 | sd.cmd.Cmd | null | -> VuongGiaCfgCmd 707853412 : {"cfg":[{"s":20000000,"c":20,"nb":5,"ms":20000000,"v":20000,"g":[],"n":"Ngoại Điện","o":true},{"s":20000000,"c":100,"nb":4,"ms":40000000,"v":20000,"g":[0,1,2,3],"n":"Nội điện","o":true},{"s":50000000,"c":100,"nb":2,"ms":50000000,"v":20000,"g":[],"n":"Phủ đệ","o":false}]}
08 Apr 2025 | 17:13:00,171 | DEBUG | application-akka.actor.default-dispatcher-6 | sd.EHActor | null | cacheVersionClientUser 707853412 - v: 326 - blockTime: 0 - bv: 2.0.1_189_Desktop
08 Apr 2025 | 17:13:00,172 | DEBUG | application-akka.actor.default-dispatcher-6 | sd.cmd.Cmd | null | -> UserCountCmd 707853412 : {"c":"130,100,86,72,83,80,84,32,14,2,0,3,2,2,1;121,93,89,72,48,25,2,0,0,0,0,0,0,0,0;120,107,95,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;88,14,0,0,0,0,2;11,10,0,0;0,1,0,0;0,0,0,0,0;0,0,0,0,0;0,0,0,0;0"}
08 Apr 2025 | 17:13:00,172 | INFO  | application-akka.actor.default-dispatcher-20 | sd.EHActor | null | 707853412 joinZone
08 Apr 2025 | 17:13:00,172 | DEBUG | scala-execution-context-global-229 | sd.cmd.Cmd | null | -> FeatureCfgCmd 707853412 : {"l":[{"s":1674320460,"e":1674579599,"i":48},{"s":1674579660,"e":1675184399,"i":50}]}
08 Apr 2025 | 17:13:00,172 | DEBUG | scala-execution-context-global-579 | sd.cmd.Cmd | null | -> TourCfgCmd 707853412 : {"p":300,"r":0,"c":1744126200,"t":1,"d":120,"e":10140,"f":2000000,"g":false,"j":false,"m":4,"o":1744117200}
08 Apr 2025 | 17:13:00,172 | DEBUG | scala-execution-context-global-579 | sd.cmd.Cmd | null | -> MultiTourCfgCmd 707853412 : {"v":[]}
08 Apr 2025 | 17:13:00,172 | DEBUG | scala-execution-context-global-229 | sd.cmd.Cmd | null | -> PetDataCmd 707853412 : {"lp":[]}
08 Apr 2025 | 17:13:00,172 | DEBUG | scala-execution-context-global-145 | sd.cmd.Cmd | null | -> StickerTicketRemain 707853412 : {"q":0}
08 Apr 2025 | 17:13:00,172 | DEBUG | scala-execution-context-global-145 | sd.cmd.Cmd | null | -> StickerTicketDataCmd 707853412 : {"d":[{"e":-1,"id":0},{"e":-1,"id":1}]}
