17 Apr 2025 | 17:53:46,823 | INFO  | application-akka.actor.default-dispatcher-8 | sd.cluster.HeadlineActor | null | subscribed to headline1 topic
17 Apr 2025 | 17:53:46,823 | INFO  | application-akka.actor.default-dispatcher-8 | sd.cluster.ForceLogoutActor | null | subscribed to force logout topic
17 Apr 2025 | 17:53:46,823 | INFO  | application-akka.actor.default-dispatcher-8 | sd.cluster.VipScoreSyncActor | null | subscribed to gs_vip_score_sub topic
17 Apr 2025 | 17:53:46,823 | INFO  | application-akka.actor.default-dispatcher-8 | sd.napLanDau.JsonDataTopicActor | null | subscribed to JsonStringTopic
17 Apr 2025 | 17:53:46,823 | INFO  | application-akka.actor.default-dispatcher-8 | sd.cluster.UpdateCacheHandler | null | subscribed to mission_complete topic
17 Apr 2025 | 17:53:46,824 | INFO  | application-akka.actor.default-dispatcher-10 | sd.cluster.MissionProgressHandler | null | subscribed to mission_progress topic
17 Apr 2025 | 17:53:46,824 | INFO  | application-akka.actor.default-dispatcher-10 | sd.cluster.MissionCompleteHandler | null | subscribed to mission_complete topic
17 Apr 2025 | 17:53:46,824 | INFO  | application-akka.actor.default-dispatcher-10 | sd.cluster.ThuThachVuaHungHandler | null | subscribed to thuThachVuaHung topic
17 Apr 2025 | 17:53:46,824 | INFO  | application-akka.actor.default-dispatcher-10 | sd.cluster.MultiLoginHandler | null | subscribed to login1 topic
17 Apr 2025 | 17:53:46,839 | INFO  | application-akka.actor.default-dispatcher-11 | akka.actor.RepointableActorRef | null | Message [com.sandinh.paho.akka.Message] from Actor[akka://application/user/mqtt/app#-35401578] to Actor[akka://application/user/resume#1746985637] was unhandled. [2] dead letters encountered. This logging can be turned off or adjusted with configuration settings 'akka.log-dead-letters' and 'akka.log-dead-letters-during-shutdown'.
17 Apr 2025 | 17:53:50,126 | INFO  | TomcatRunner | tomcat.bluebox.BBSessionFilter | null | BlueBox Service (4.0.2) READY.
17 Apr 2025 | 17:53:56,508 | INFO  | https-jsse-nio-8443-exec-6 | bitswarm.sessions.DefaultSessionManager | null | Session created: { Id: 1, Type: WEBSOCKET, Logged: No, IP: 171.241.27.183 } on Server port: 8443 <---> 59741
17 Apr 2025 | 17:53:56,531 | INFO  | https-jsse-nio-8443-exec-4 | bitswarm.sessions.DefaultSessionManager | null | Session created: { Id: 2, Type: WEBSOCKET, Logged: No, IP: 171.241.27.183 } on Server port: 8443 <---> 59747
17 Apr 2025 | 17:53:56,576 | INFO  | https-jsse-nio-8443-exec-1 | bitswarm.sessions.DefaultSessionManager | null | Session created: { Id: 3, Type: WEBSOCKET, Logged: No, IP: 171.241.27.183 } on Server port: 8443 <---> 59748
17 Apr 2025 | 17:53:56,705 | WARN  | SFSWorker:Ext:4 | core.env.CoreEnvironment | null | More than 1 Couchbase Environments found (2), this can have severe impact on performance and stability. Reuse environments!
17 Apr 2025 | 17:53:56,711 | INFO  | SFSWorker:Ext:4 | core.env.CoreEnvironment | null | ioPoolSize is less than 3 (1), setting to: 3
17 Apr 2025 | 17:53:56,717 | INFO  | SFSWorker:Ext:4 | core.env.CoreEnvironment | null | computationPoolSize is less than 3 (1), setting to: 3
17 Apr 2025 | 17:53:56,719 | INFO  | SFSWorker:Ext:4 | client.core.CouchbaseCore | null | CouchbaseEnvironment: {sslEnabled=false, sslKeystoreFile='null', sslTruststoreFile='null', sslKeystorePassword=false, sslTruststorePassword=false, sslKeystore=null, sslTruststore=null, sslHostnameVerificationEnabled=false, bootstrapHttpEnabled=true, bootstrapCarrierEnabled=true, bootstrapHttpDirectPort=8091, bootstrapHttpSslPort=18091, bootstrapCarrierDirectPort=11210, bootstrapCarrierSslPort=11207, ioPoolSize=3, computationPoolSize=3, responseBufferSize=16384, requestBufferSize=16384, kvServiceEndpoints=1, viewServiceEndpoints=12, queryServiceEndpoints=12, searchServiceEndpoints=12, configPollInterval=2500, configPollFloorInterval=50, networkResolution=NetworkResolution{name='auto'}, ioPool=NioEventLoopGroup, kvIoPool=null, viewIoPool=null, searchIoPool=null, queryIoPool=null, analyticsIoPool=null, coreScheduler=CoreScheduler, memcachedHashingStrategy=DefaultMemcachedHashingStrategy, eventBus=DefaultEventBus, packageNameAndVersion=couchbase-java-client/2.7.22 (git: 2.7.22, core: 1.7.22), retryStrategy=BestEffort, maxRequestLifetime=75000, retryDelay=ExponentialDelay{growBy 1.0 MICROSECONDS, powers of 2; lower=100, upper=100000}, reconnectDelay=ExponentialDelay{growBy 1.0 MILLISECONDS, powers of 2; lower=32, upper=4096}, observeIntervalDelay=ExponentialDelay{growBy 1.0 MICROSECONDS, powers of 2; lower=10, upper=100000}, keepAliveInterval=30000, continuousKeepAliveEnabled=true, keepAliveErrorThreshold=4, keepAliveTimeout=2500, autoreleaseAfter=2000, bufferPoolingEnabled=true, tcpNodelayEnabled=true, mutationTokensEnabled=false, socketConnectTimeout=1000, callbacksOnIoPool=false, disconnectTimeout=25000, requestBufferWaitStrategy=com.couchbase.client.core.env.DefaultCoreEnvironment$4@80f71fc, certAuthEnabled=false, coreSendHook=null, forceSaslPlain=false, compressionMinRatio=0.83, compressionMinSize=32, compressionEnabled=true, operationTracingEnabled=true, operationTracingServerDurationEnabled=true,tracer=ThresholdLogTracer, orphanResponseReportingEnabled=true, orphanResponseReporter=DefaultOrphanResponseReporter, keyValueServiceConfig=KeyValueServiceConfig{minEndpoints=1, maxEndpoints=1, pipelined=true, idleTime=0}, queryServiceConfig=QueryServiceConfig{minEndpoints=0, maxEndpoints=12, pipelined=false, idleTime=4}, searchServiceConfig=SearchServiceConfig{minEndpoints=0, maxEndpoints=12, pipelined=false, idleTime=4}, viewServiceConfig=ViewServiceConfig{minEndpoints=0, maxEndpoints=12, pipelined=false, idleTime=4}, analyticsServiceConfig=AnalyticsServiceConfig{minEndpoints=0, maxEndpoints=12, pipelined=false, idleTime=4}, queryTimeout=75000, viewTimeout=75000,searchTimeout=75000, analyticsTimeout=75000, kvTimeout=2500, connectTimeout=5000, dnsSrvEnabled=false, propagateParentSpan=true}
17 Apr 2025 | 17:53:56,767 | INFO  | application-akka.actor.default-dispatcher-12 | akka.actor.RepointableActorRef | null | Message [com.sandinh.paho.akka.Message] from Actor[akka://application/user/mqtt/login1#-749259916] to Actor[akka://application/user/loginPrevent#208731153] was unhandled. [3] dead letters encountered. This logging can be turned off or adjusted with configuration settings 'akka.log-dead-letters' and 'akka.log-dead-letters-during-shutdown'.
17 Apr 2025 | 17:53:57,120 | INFO  | cb-io-4-2 | core.node.Node | null | Connected to Node cb1
17 Apr 2025 | 17:53:57,158 | INFO  | cb-io-4-1 | core.node.Node | null | Connected to Node cb2
17 Apr 2025 | 17:53:57,174 | INFO  | cb-computations-6 | core.config.ConfigurationProvider | null | Selected network configuration: default
17 Apr 2025 | 17:53:57,176 | INFO  | cb-computations-6 | core.config.ConfigurationProvider | null | Opened bucket acc
17 Apr 2025 | 17:53:57,185 | INFO  | cb-io-4-1 | core.node.Node | null | Disconnected from Node cb2
17 Apr 2025 | 17:53:57,186 | INFO  | cb-io-4-2 | core.node.Node | null | Disconnected from Node cb1
17 Apr 2025 | 17:53:57,505 | INFO  | cb-io-4-3 | core.node.Node | null | Connected to Node 128.199.246.136
17 Apr 2025 | 17:53:57,525 | INFO  | cb-io-4-1 | core.node.Node | null | Connected to Node 139.59.102.208
17 Apr 2025 | 17:53:57,572 | INFO  | SFSWorker:Ext:4 | v2.api.SFSApi | null | User login: { Zone: sfsak }, ( User Name: 4728208, Id: 0, Priv: 0, Sess: 171.241.27.183:59748 ) , Type: unity-DesktopC10:1.0.7
17 Apr 2025 | 17:53:57,626 | DEBUG | application-akka.actor.default-dispatcher-12 | sd.SD | null | <- GetRemainAdsByDeviceIDReq  4728208  {"d":"6957A885-3945-3445-5177-00000000B595"}
17 Apr 2025 | 17:53:57,628 | INFO  | application-akka.actor.default-dispatcher-12 | sd.free.FreeCoinActor | null | Get ads remain per device 4728208 6957A885-3945-3445-5177-00000000B595 LimitAdsPerDevice(1744887237,15)
17 Apr 2025 | 17:53:57,631 | DEBUG | application-akka.actor.default-dispatcher-9 | sd.cmd.Cmd | null | -> RemainAdsByDeviceCmd 4728208 : {"r":15}
17 Apr 2025 | 17:53:57,721 | DEBUG | application-akka.actor.default-dispatcher-9 | sd.SD | null | <- GetProgressTTDataReq  4728208  {}
17 Apr 2025 | 17:53:57,850 | DEBUG | scala-execution-context-global-87 | sd.cmd.Cmd | null | -> VuongGiaCfgCmd 4728208 : {"cfg":[{"s":20000000,"c":20,"nb":5,"ms":20000000,"v":20000,"g":[],"n":"Ngoại Điện","o":true},{"s":20000000,"c":100,"nb":4,"ms":40000000,"v":20000,"g":[0,1,2,3],"n":"Nội điện","o":true},{"s":50000000,"c":100,"nb":2,"ms":50000000,"v":20000,"g":[],"n":"Phủ đệ","o":false}]}
17 Apr 2025 | 17:53:57,882 | DEBUG | application-akka.actor.default-dispatcher-10 | sd.cmd.Cmd | null | -> UserCountCmd 4728208 : {"c":"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0,0;0,0,0,0,0;0,0,0,0;0"}
17 Apr 2025 | 17:53:57,883 | DEBUG | application-akka.actor.default-dispatcher-9 | sd.EHActor | null | cacheVersionClientUser 4728208 - v: 326 - blockTime: 0 - bv: 1.0.7_charge_0_Desktop
17 Apr 2025 | 17:53:57,884 | INFO  | application-akka.actor.default-dispatcher-9 | sd.EHActor | null | client-type-unknown: unity-desktopc10
17 Apr 2025 | 17:53:57,905 | INFO  | application-akka.actor.default-dispatcher-6 | sd.EHActor | null | 4728208 joinZone
17 Apr 2025 | 17:53:57,931 | DEBUG | scala-execution-context-global-87 | sd.cmd.Cmd | null | -> BuddyInitCmd 4728208 : {"ru":[],"rn":[],"m":200,"ur":[],"yf":[]}
17 Apr 2025 | 17:53:57,935 | DEBUG | scala-execution-context-global-87 | sd.cmd.Cmd | null | -> StickerTicketRemain 4728208 : {"q":146}
17 Apr 2025 | 17:53:57,936 | DEBUG | scala-execution-context-global-87 | sd.cmd.Cmd | null | -> StickerTicketDataCmd 4728208 : {"d":[{"e":-1,"id":0},{"e":-1,"id":1}]}
17 Apr 2025 | 17:53:57,938 | DEBUG | scala-execution-context-global-87 | sd.cmd.Cmd | null | -> PetDataCmd 4728208 : {"lp":[{"ip":5,"id":1,"et":-1},{"ip":4,"id":1,"et":-1}]}
17 Apr 2025 | 17:53:57,940 | DEBUG | scala-execution-context-global-87 | sd.cmd.Cmd | null | -> TourCfgCmd 4728208 : {"p":300,"r":0,"c":1744995600,"t":0,"d":120,"e":54483,"f":1000000,"g":false,"j":true,"m":4,"o":1744941600}
17 Apr 2025 | 17:53:57,943 | DEBUG | scala-execution-context-global-87 | sd.cmd.Cmd | null | -> MultiTourCfgCmd 4728208 : {"v":[{"p":1800,"r":0,"c":1747472400,"t":2,"d":120,"e":2583483,"f":10000000,"g":false,"j":false,"m":10,"o":1747470600},{"p":1800,"r":0,"c":1747475400,"t":2,"d":120,"e":2586483,"f":10000000,"g":false,"j":false,"m":10,"o":1747473600}]}
17 Apr 2025 | 17:53:57,949 | DEBUG | scala-execution-context-global-87 | sd.cmd.Cmd | null | -> FeatureCfgCmd 4728208 : {"l":[{"s":1674143412,"e":1674143412,"i":48},{"s":1674143412,"e":1674143412,"i":50}]}
17 Apr 2025 | 17:53:57,992 | DEBUG | scala-execution-context-global-87 | sd.cmd.Cmd | null | -> UserTeaseCmd 4728208 : {"datas":[{"r":0,"id":0},{"r":0,"id":1},{"r":0,"id":9},{"r":0,"id":3},{"r":0,"id":8}]}
